Participant,Contrast,Word,Similarity,Time,Score
R_3s1GtAMrJrzmbHo,C,Studeren,NS,P,0
R_3s1GtAMrJrzmbHo,C,Studeren,NS,R,0
R_3s1GtAMrJrzmbHo,C,Stoel,NS,P,0
R_3s1GtAMrJrzmbHo,C,Stoel,NS,R,0
R_3s1GtAMrJrzmbHo,C,Varken,NS,P,0
R_3s1GtAMrJrzmbHo,C,Varken,NS,R,1
R_3s1GtAMrJrzmbHo,C,Eten,NS,P,0
R_3s1GtAMrJrzmbHo,C,Eten,NS,R,0
R_3s1GtAMrJrzmbHo,C,Fruit,NS,P,0
R_3s1GtAMrJrzmbHo,C,Fruit,NS,R,0
R_3s1GtAMrJrzmbHo,C,Stad,NS,P,0
R_3s1GtAMrJrzmbHo,C,Stad,NS,R,0
R_3s1GtAMrJrzmbHo,C,Cafe,NS,P,1
R_3s1GtAMrJrzmbHo,C,Cafe,NS,R,1
R_3s1GtAMrJrzmbHo,C,Zomer,NS,P,0
R_3s1GtAMrJrzmbHo,C,Zomer,NS,R,0
R_3s1GtAMrJrzmbHo,C,Kopen,MS,P,0
R_3s1GtAMrJrzmbHo,C,Kopen,MS,R,0
R_3s1GtAMrJrzmbHo,C,Goedkoop,MS,P,0
R_3s1GtAMrJrzmbHo,C,Goedkoop,MS,R,0
R_3s1GtAMrJrzmbHo,C,Maand,MS,P,0
R_3s1GtAMrJrzmbHo,C,Maand,MS,R,0
R_3s1GtAMrJrzmbHo,C,Dochter,MS,P,0
R_3s1GtAMrJrzmbHo,C,Dochter,MS,R,0
R_3s1GtAMrJrzmbHo,C,Kamer,MS,P,0
R_3s1GtAMrJrzmbHo,C,Kamer,MS,R,0
R_3s1GtAMrJrzmbHo,C,Brood,MS,P,0
R_3s1GtAMrJrzmbHo,C,Brood,MS,R,0
R_3s1GtAMrJrzmbHo,C,Oost,MS,P,0
R_3s1GtAMrJrzmbHo,C,Oost,MS,R,0
R_3s1GtAMrJrzmbHo,C,Poep,MS,P,0
R_3s1GtAMrJrzmbHo,C,Poep,MS,R,0
R_3s1GtAMrJrzmbHo,C,Zout,HS,P,0
R_3s1GtAMrJrzmbHo,C,Zout,HS,R,0
R_3s1GtAMrJrzmbHo,C,Schop,HS,P,0
R_3s1GtAMrJrzmbHo,C,Schop,HS,R,0
R_3s1GtAMrJrzmbHo,C,Verwijderen,HS,P,0
R_3s1GtAMrJrzmbHo,C,Verwijderen,HS,R,0
R_3s1GtAMrJrzmbHo,C,Slaan,HS,P,0
R_3s1GtAMrJrzmbHo,C,Slaan,HS,R,1
R_3s1GtAMrJrzmbHo,C,Rijstcake,HS,P,1
R_3s1GtAMrJrzmbHo,C,Rijstcake,HS,R,1
R_3s1GtAMrJrzmbHo,C,Kin,HS,P,0
R_3s1GtAMrJrzmbHo,C,Kin,HS,R,0
R_3s1GtAMrJrzmbHo,C,Uitzetten,HS,P,0
R_3s1GtAMrJrzmbHo,C,Uitzetten,HS,R,1
R_3s1GtAMrJrzmbHo,C,Groot,HS,P,0
R_3s1GtAMrJrzmbHo,C,Groot,HS,R,0
R_2fAMhDxYm9jjQI5,NC,Studeren,NS,P,1
R_2fAMhDxYm9jjQI5,NC,Studeren,NS,R,1
R_2fAMhDxYm9jjQI5,NC,Stoel,NS,P,0
R_2fAMhDxYm9jjQI5,NC,Stoel,NS,R,0
R_2fAMhDxYm9jjQI5,NC,Varken,NS,P,0
R_2fAMhDxYm9jjQI5,NC,Varken,NS,R,0
R_2fAMhDxYm9jjQI5,NC,Eten,NS,P,1
R_2fAMhDxYm9jjQI5,NC,Eten,NS,R,1
R_2fAMhDxYm9jjQI5,NC,Fruit,NS,P,1
R_2fAMhDxYm9jjQI5,NC,Fruit,NS,R,1
R_2fAMhDxYm9jjQI5,NC,Stad,NS,P,1
R_2fAMhDxYm9jjQI5,NC,Stad,NS,R,1
R_2fAMhDxYm9jjQI5,NC,Cafe,NS,P,1
R_2fAMhDxYm9jjQI5,NC,Cafe,NS,R,1
R_2fAMhDxYm9jjQI5,NC,Zomer,NS,P,1
R_2fAMhDxYm9jjQI5,NC,Zomer,NS,R,1
R_2fAMhDxYm9jjQI5,NC,Kopen,MS,P,0
R_2fAMhDxYm9jjQI5,NC,Kopen,MS,R,0
R_2fAMhDxYm9jjQI5,NC,Goedkoop,MS,P,1
R_2fAMhDxYm9jjQI5,NC,Goedkoop,MS,R,0
R_2fAMhDxYm9jjQI5,NC,Maand,MS,P,1
R_2fAMhDxYm9jjQI5,NC,Maand,MS,R,1
R_2fAMhDxYm9jjQI5,NC,Dochter,MS,P,1
R_2fAMhDxYm9jjQI5,NC,Dochter,MS,R,1
R_2fAMhDxYm9jjQI5,NC,Kamer,MS,P,1
R_2fAMhDxYm9jjQI5,NC,Kamer,MS,R,0
R_2fAMhDxYm9jjQI5,NC,Brood,MS,P,1
R_2fAMhDxYm9jjQI5,NC,Brood,MS,R,1
R_2fAMhDxYm9jjQI5,NC,Oost,MS,P,0
R_2fAMhDxYm9jjQI5,NC,Oost,MS,R,0
R_2fAMhDxYm9jjQI5,NC,Poep,MS,P,1
R_2fAMhDxYm9jjQI5,NC,Poep,MS,R,1
R_2fAMhDxYm9jjQI5,NC,Zout,HS,P,0
R_2fAMhDxYm9jjQI5,NC,Zout,HS,R,0
R_2fAMhDxYm9jjQI5,NC,Schop,HS,P,0
R_2fAMhDxYm9jjQI5,NC,Schop,HS,R,0
R_2fAMhDxYm9jjQI5,NC,Verwijderen,HS,P,0
R_2fAMhDxYm9jjQI5,NC,Verwijderen,HS,R,0
R_2fAMhDxYm9jjQI5,NC,Slaan,HS,P,0
R_2fAMhDxYm9jjQI5,NC,Slaan,HS,R,0
R_2fAMhDxYm9jjQI5,NC,Rijstcake,HS,P,0
R_2fAMhDxYm9jjQI5,NC,Rijstcake,HS,R,0
R_2fAMhDxYm9jjQI5,NC,Kin,HS,P,0
R_2fAMhDxYm9jjQI5,NC,Kin,HS,R,1
R_2fAMhDxYm9jjQI5,NC,Uitzetten,HS,P,1
R_2fAMhDxYm9jjQI5,NC,Uitzetten,HS,R,1
R_2fAMhDxYm9jjQI5,NC,Groot,HS,P,1
R_2fAMhDxYm9jjQI5,NC,Groot,HS,R,1
R_2Va2TPqQEM8vN08,NC,Studeren,NS,P,0
R_2Va2TPqQEM8vN08,NC,Studeren,NS,R,0
R_2Va2TPqQEM8vN08,NC,Stoel,NS,P,0
R_2Va2TPqQEM8vN08,NC,Stoel,NS,R,0
R_2Va2TPqQEM8vN08,NC,Varken,NS,P,0
R_2Va2TPqQEM8vN08,NC,Varken,NS,R,1
R_2Va2TPqQEM8vN08,NC,Eten,NS,P,1
R_2Va2TPqQEM8vN08,NC,Eten,NS,R,1
R_2Va2TPqQEM8vN08,NC,Fruit,NS,P,0
R_2Va2TPqQEM8vN08,NC,Fruit,NS,R,0
R_2Va2TPqQEM8vN08,NC,Stad,NS,P,0
R_2Va2TPqQEM8vN08,NC,Stad,NS,R,0
R_2Va2TPqQEM8vN08,NC,Cafe,NS,P,1
R_2Va2TPqQEM8vN08,NC,Cafe,NS,R,1
R_2Va2TPqQEM8vN08,NC,Zomer,NS,P,1
R_2Va2TPqQEM8vN08,NC,Zomer,NS,R,1
R_2Va2TPqQEM8vN08,NC,Kopen,MS,P,0
R_2Va2TPqQEM8vN08,NC,Kopen,MS,R,0
R_2Va2TPqQEM8vN08,NC,Goedkoop,MS,P,1
R_2Va2TPqQEM8vN08,NC,Goedkoop,MS,R,0
R_2Va2TPqQEM8vN08,NC,Maand,MS,P,0
R_2Va2TPqQEM8vN08,NC,Maand,MS,R,0
R_2Va2TPqQEM8vN08,NC,Dochter,MS,P,0
R_2Va2TPqQEM8vN08,NC,Dochter,MS,R,0
R_2Va2TPqQEM8vN08,NC,Kamer,MS,P,0
R_2Va2TPqQEM8vN08,NC,Kamer,MS,R,0
R_2Va2TPqQEM8vN08,NC,Brood,MS,P,0
R_2Va2TPqQEM8vN08,NC,Brood,MS,R,1
R_2Va2TPqQEM8vN08,NC,Oost,MS,P,1
R_2Va2TPqQEM8vN08,NC,Oost,MS,R,1
R_2Va2TPqQEM8vN08,NC,Poep,MS,P,1
R_2Va2TPqQEM8vN08,NC,Poep,MS,R,1
R_2Va2TPqQEM8vN08,NC,Zout,HS,P,1
R_2Va2TPqQEM8vN08,NC,Zout,HS,R,0
R_2Va2TPqQEM8vN08,NC,Schop,HS,P,1
R_2Va2TPqQEM8vN08,NC,Schop,HS,R,0
R_2Va2TPqQEM8vN08,NC,Verwijderen,HS,P,0
R_2Va2TPqQEM8vN08,NC,Verwijderen,HS,R,0
R_2Va2TPqQEM8vN08,NC,Slaan,HS,P,0
R_2Va2TPqQEM8vN08,NC,Slaan,HS,R,0
R_2Va2TPqQEM8vN08,NC,Rijstcake,HS,P,1
R_2Va2TPqQEM8vN08,NC,Rijstcake,HS,R,1
R_2Va2TPqQEM8vN08,NC,Kin,HS,P,0
R_2Va2TPqQEM8vN08,NC,Kin,HS,R,0
R_2Va2TPqQEM8vN08,NC,Uitzetten,HS,P,1
R_2Va2TPqQEM8vN08,NC,Uitzetten,HS,R,0
R_2Va2TPqQEM8vN08,NC,Groot,HS,P,0
R_2Va2TPqQEM8vN08,NC,Groot,HS,R,0
R_1QKpL866xGE5BYq,C,Studeren,NS,P,0
R_1QKpL866xGE5BYq,C,Studeren,NS,R,0
R_1QKpL866xGE5BYq,C,Stoel,NS,P,1
